dataset_id,title_fr,description_fr
DS_RP_DIPLOMES_PRINC,Diplômes et Formation ,"Les données sont détaillées pour la population non scolarisée, âgée de 15 ans ou plus par sexe et le diplôme le plus élevé obtenu. Elles sont fournies à différents niveaux géographiques (commune, arrondissement municipal, arrondissement, département, région, établissement public de coopération intercommunal, unité urbaines 2020, aire d'attraction des villes 2020, bassin de vie 2022, zone d'emploi 2020, France)."
DS_RP_EDUCATION,Éducation - Scolarisation,"Les données sont détaillées pour la population scolarisée âgée de 2 ans ou plus selon l'âge et le sexe. Elles sont fournies à différents niveaux géographiques (commune, arrondissement municipal, arrondissement, département, région, établissement public de coopération intercommunal, unité urbaines 2020, aire d'attraction des villes 2020, bassin de vie 2022, zone d'emploi 2020, France)."
