dataset_id,title_fr,description_fr
DD_EEC_ANNUEL,"Activité, emploi et chômage - résultats annuels 2024","Les données sont généralement détaillées par sexe, âge, diplôme et la profession et catégorie socio-professionnelle (PCS). Les caractéristiques d’emploi abordent le type de contrat, le secteur d’activité, le sous-emploi et le temps de travail (temps complet ou partiel mais aussi travail le soir, la nuit, le samedi ou le dimanche). Le jeu de données contient aussi des données détaillées par statut d'immigration (immigré ou pas, descendant d'immigré). 
Plusieurs taux sont disponibles comme le taux d'activité, le taux d'emploi ou le taux de chômage. "
DD_EEC_SERIES,"Activité, emploi et chômage - séries longues","Les données sont détaillées par sexe, âge, diplôme et catégorie socio-professionnelle (PCS). Pour l’emploi, les données sont détaillées par type de contrat, composante du sous-emploi, temps de travail (temps complet ou partiel). Plusieurs indicateurs en taux sont disponibles : taux d'activité, taux d'emploi ou taux de chômage. 

Ce jeu de données regroupe notamment les données annuelles de forte valeur (High Value Dataset ou HVD statistiques) désignées par Eurostat sur les sujets suivants : l'emploi , le chômage et la main d’œuvre potentielle."
DS_RP_EMPLOI_LR_COMP,Population active et chômage,"Les données sont détaillées pour la population active résidente de 15 à 64 ans selon la catégorie socioprofessionnelle. Elles sont fournies à différents niveaux géographiques (commune, arrondissement municipal, arrondissement, département, région, établissement public de coopération intercommunal, unité urbaines 2020, aire d'attraction des villes 2020, bassin de vie 2022, zone d'emploi 2020, France)."
DS_RP_EMPLOI_LR_PRINC,Population active et chômage,"Les données sont détaillées pour la population active résidente des 15 à 64 ans selon l’âge et le sexe ; caractéristiques des chômeurs âgés de 15 à 64 ans selon l'âge et le diplôme. Elles sont fournies à différents niveaux géographiques (commune, arrondissement municipal, arrondissement, département, région, établissement public de coopération intercommunal, unité urbaines 2020, aire d'attraction des villes 2020, bassin de vie 2022, zone d'emploi 2020, France)."
